"","ID","mm1","mm20","mm6","KCl","Diet"
"1","1433",1.07142857142857,56.8601142857141,20.4997285714285,45.3589714285713,"Chow"
"39","1467",1.52901075,21.95153625,9.7409985,26.9559,"Chow"
"78","1468",0.658125,22.8640125,7.598925,28.07955,"1wk HFD"
"117","1469",0.66676,36.90792,18.73576,42.4896,"2d HFD"
"155","1478",0.85215,47.89770375,29.30942625,50.032905,"Chow"
"190","1479",0.74204,37.20176,15.83792,43.1304,"Chow"
"228","1483",0.32509,31.04486,2.1430575,24.88335,"1wk HFD"
"267","1484",1.2849375,38.6969625,21.5815425,41.36307,"1wk HFD"
"303","1486",1.3813545,35.476767,16.0051235,42.196744,"1wk HFD"
"341","1490",2.1614875,47.361395,18.1326025,26.32146,"2d HFD"
"380","1491",1.89067125,34.90475625,13.3287375,27.22785,"2d HFD"
"419","1492",2.25277,57.459935,31.861635,47.86522,"2d HFD"
"457","1493",0.1705925,6.11628125,2.22317625,9.682955,"2d HFD"
