"","Data.From","Diet","ID","Recovery.rate.percentage","Vol.per.well.ml","Minute","OD450","Insulin","Dil_Ins","Insulin_ng","Group"
"1","07.03.2019","Chow","1433",53.2,0.171428571428571,0,0.1,0.4053,2.0265,0.347399999999999,"1mM"
"2","07.03.2019","Chow","1433",53.2,0.171428571428571,1,0.11,0.486,2.43,0.416571428571428,"1mM"
"3","07.03.2019","Chow","1433",53.2,0.171428571428571,2,0.083,0.2717,1.3585,0.232885714285714,"1mM"
"4","07.03.2019","Chow","1433",53.2,0.171428571428571,3,0.072,0.1881,0.9405,0.161228571428571,"1mM"
"5","07.03.2019","Chow","1433",53.2,0.171428571428571,4,0.074,0.2031,1.0155,0.174085714285714,"1mM"
"6","07.03.2019","Chow","1433",53.2,0.171428571428571,5,0.066,0.1436,0.718,0.123085714285714,"6mM"
"8","07.03.2019","Chow","1433",53.2,0.171428571428571,7,1.392,4.9223,24.6115,4.21911428571428,"6mM"
"9","07.03.2019","Chow","1433",53.2,0.171428571428571,8,1.558,5.4237,27.1185,4.6488857142857,"6mM"
"10","07.03.2019","Chow","1433",53.2,0.171428571428571,9,0.714,3.0635,15.3175,2.62585714285714,"6mM"
"11","07.03.2019","Chow","1433",53.2,0.171428571428571,10,0.418,2.1574,10.787,1.8492,"6mM"
"12","07.03.2019","Chow","1433",53.2,0.171428571428571,11,0.198,1.1624,5.812,0.996342857142855,"6mM"
"13","07.03.2019","Chow","1433",53.2,0.171428571428571,12,0.15,0.8117,4.0585,0.695742857142856,"6mM"
"14","07.03.2019","Chow","1433",53.2,0.171428571428571,13,0.158,0.8745,4.3725,0.749571428571427,"6mM"
"15","07.03.2019","Chow","1433",53.2,0.171428571428571,14,0.159,0.8822,4.411,0.756171428571427,"6mM"
"16","07.03.2019","Chow","1433",53.2,0.171428571428571,15,0.163,0.913,4.565,0.782571428571427,"6mM"
"17","07.03.2019","Chow","1433",53.2,0.171428571428571,16,0.144,0.7637,3.8185,0.654599999999998,"6mM"
"18","07.03.2019","Chow","1433",53.2,0.171428571428571,17,0.133,0.6744,3.372,0.578057142857142,"6mM"
"20","07.03.2019","Chow","1433",53.2,0.171428571428571,19,0.775,3.2337,16.1685,2.77174285714285,"20mM"
"21","07.03.2019","Chow","1433",53.2,0.171428571428571,21,2.067,7.766,38.83,6.65657142857141,"20mM"
"22","07.03.2019","Chow","1433",53.2,0.171428571428571,22,1.915,6.9184,34.592,5.93005714285713,"20mM"
